SecretID,SecretName,UnlockName,Type,Korean,bul,cs_cz,de,el_gr,en_us,fr,it,ja_jp,nl_nl,pl,pt,pt_br,ro_ro,ru,spa,tr_tr,uk_ua,vi,zh_cn,UnlockedFlag
11,A Fetus in a Jar,Dr. Fetus,Item,태아 박사,Д-р Ембрион,Dr. Zárodek,Doktor Fetus,Δρ. Έμβρυο,Dr. Fetus,Dr. Fœtus,Dr. Fetus,Dr. フィータス,Dr. Foetus,Dr. Fetus,Dr. Fetus,Dr. Fetus,Dr. Făt,Доктор Зародыш,Dr. Fetus,Dr. Fetüs,Доктор Зародок,Dr. Fetus,胎儿博士,1
12,A Small Rock,The Small Rock,Item,작은 돌,Малкият камък,Edenova Duše,Seele von Eden,Η Μικρή Πέτρα,The Small Rock,Gros Caillou,La Pietruzza,エデンのソウル,De kleine rots,Kamyczek,The Small Rock,The Small Rock,Mica Piatră,Душа Эдема,La Roca pequeña,Edenin Ruhu,Маленький камінь,Soul of Eden,小石头,1
13,Monstro's Tooth,Monstro's Tooth,Item,몬스트로의 이빨,Зъбът на Монстро,Evina Duše,Seele von Eva,Το Δόντι του Μονστρο,Monstro's Tooth,Dent de Monstro,Dente di Monstro,イブのソウル,Monstro's Tand,Ząb Monstro,Monstro's Tooth,Monstro's Tooth,Dintele lui Monstro,Душа Евы,Diente de Monstro,Evein Ruhu,Зуб Монстро,Soul of Eve,萌死戳的牙,1
14,Lil' Chubby,Little Chubby,Item,리틀 처비,Малкият Чъби,Azazelova Duše,Seele von Azazel,Μικρός Τσάμπι,Little Chubby,P'tit Dodu,Cicciottella,アザゼルのソウル,Beetje Mollig,Mały Chubby,Little Chubby,Little Chubby,Micul Dolofan,Душа Азазеля,Pequeño Chubby,Azazelin Ruhu,Маленький Чаббі,Soul of Azazel,小胖蛆,1
15,Loki's Horns,Loki's Horns,Item,로키의 뿔,Рогата на Локи,Lokiho Rohy,Lokis Hörner,Τα Κέρατα του Λόκι,Loki's Horns,Cornes de Loki,Corna di Loki,ロキのツノ,Loki's Hoorns,Rogi Loki'ego,Loki's Horns,Loki's Horns,Coarnele lui Loki,Рога Локи,Cuernos de Loki,Samsonın Ruhu,Ріжки Локі,Loki's Horns,洛基的角,1
16,Something From The Future,Steven,Item,스티븐,Стивън,Spálená Mince,Verbrannte Münze,Στίβεν,Steven,Steven,Steven,燃え尽きたペニー,Steven,Steven,Steven,Steven,Steven,Сгоревший пенни,Steven,Yanık Para,Стівен,Burnt Penny,史蒂文,1
17,Something Cute,C.H.A.D.,Boss,,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,C.H.A.D.,1
18,Something Sticky,Gish,Boss,,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,Gish,1
19,A Bandage,Super Bandage,Item,슈퍼 밴디지,Супер лепенка,Popraskaná Koruna,Rissige Krone,Υπερεπίδεσμος,Super Bandage,Super Pansement,Super Cerotto,ひびが入った冠,Super Verband,Super Bandaż,Super Bandage,Super Bandage,Super Bandajul,Треснувшая корона,Súper Vendaje,Çatlak Taç,Супер пластир,Cracked Crown,超级绷带,1
20,A Cross,The Relic,Item,성유물,Реликвата,Relikvie,Die Reliquie,Το Λείψανο,The Relic,Relique,La Reliquia,遺物,Het Relikwie,Relikt,The Relic,The Relic,Relicva,Реликвия,La Reliquia,Kalıntı,Реліквія,The Relic,圣遗物,1
21,A Bag of Pennies,Sack of Pennies,Item,동전 주머니,Кесия с монети,Apollyónova Duše,Seele von Apollyon,Σάκος Λεπτών,Sack of Pennies,Bourse,Sacco di Penny,アポリオンのソウル,Zak van Centen,Sakiewa z Monetami,Sack of Pennies,Sack of Pennies,Sac de Bănuți,Душа Аполлиона,Bolsa de centavos,Apollyonun Ruhu,Мішок пенні,Soul of Apollyon,硬币袋,1
22,The Book of Sin,The Book of Sin,Item,죄악의 책,Книгата на греховете,Mandle,Seele von Jacob und Esau,Το Βιβλίο των Αμαρτιών,The Book of Sin,Amygdale,Tonsilla,ヤコブとエサウのソウル,Het Boek van Zonde,Księga Grzechu,The Book of Sin,The Book of Sin,Cartea Păcatului,Душа Иакова и Исава,Amígdala,Jacob and Esaunun Ruhu,Книга Гріхів,Soul of Jacob and Esau,七原罪之书,1
23,Little Gish,Little Gish,Item,리틀 기쉬,Малък Гиш,Malý Gish,Kleiner Gish,Μικρός Γκις,Little Gish,P'tit Gish,Piccolo Gish,リトル ギッシュ,Kleine Gish,Mały Gish,Little Gish,Little Gish,Micul Gish,Маленький Гиш,Pequeño Gish,Küçük Gish,Маленький Гіш,Little Gish,吉什宝宝,1
24,Little Steven,Little Steven,Item,리틀 스티븐,Малък Стивън,Malý Steven,Kleiner Steven,Μικρός Στίβεν,Little Steven,P'tit Steven,Piccolo Steven,リトル スティーブン,Kleine Steven,Mały Steven,Little Steven,Little Steven,Micul Steven,Маленький Стивен,Pequeño Steven,Küçük Mesut,Маленький Стівен,Little Steven,史蒂文宝宝,1
25,Little C.H.A.D.,Little C.H.A.D.,Item,리틀 차드,Малък Ч.А.Д.,Červ Ouroboros,Ouroboros-Wurm,Μικρός C.H.A.D.,Little C.H.A.D.,P'tit C.H.A.D,Piccola C.H.A.D.,ウロボロスワーム,Kleine C.H.A.D.,Mały C.H.A.D.,Little C.H.A.D.,Little C.H.A.D.,Micul C.H.A.D.,Червь Уроборос,Pequeño C.H.A.D.,Ouroboros Solucanı,Маленький Ч.А.Д.,Ouroboros Worm,查德宝宝,1
26,A Gamekid,The Gamekid,Item,게임키드,Геймкид,Použitá Plenka,Seele von Keeper,Το Gamekid,The Gamekid,Couche Usagée,Pannolino Usato,キーパーのソウル,De gamekid,Gamekid,The Gamekid,The Gamekid,Gamekid-ul,Душа Хранителя,Pañal usado,the Keeperın Ruhu,Геймкід,Soul of the Keeper,游戏掌机,1
27,A Halo,The Halo,Item,광륜,Ореолът,Svatozář,Der Heiligenschein,The Halo,The Halo,Auréole,L'Aureola,ヘイロー,De Halo,Aureola,The Halo,The Halo,Aureola,Нимб,El Halo,Hale,Німб,The Halo,光环,1
28,Mr. Mega,Mr. Mega,Item,미스터 메가,Мистър Мега,Pan Mega,Herr Mega,Κύριος Μέγα,Mr. Mega,M. Méga,Mr. Mega,ミスターメガ,Mr. Mega,Pan Mega,Mr. Mega,Mr. Mega,Dl. Mega,Мистер Мега,Sr. Mega,Bay Mega,Містер Мега,Mr. Mega,大爆弹先生,1
29,The D6,The D6,Item,주사위,D6,Oběd v Sáčku,Lunchpaket,Εξάπλευρο Ζάρι,The D6,Sac de Friandises,Sacchetto per il Pranzo,弁当袋,De D6,D6,The D6,The D6,D6-le,Пакет с обедом,Bolsa del almuerzo,D6,D6,Bag Lunch,六面骰,1
30,The Scissors,Scissors,Item,가위,Ножици,Nůžky,Scissors,Ψαλίδια,Scissors,Paire de Ciseaux,Forbici,ハサミ,Scissors,Nożyczki,Scissors,Scissors,Scissors,Ножницы,Tijeras,Makas,Ножиці,Scissors,剪刀,1
31,The Parasite,The Parasite,Item,기생충,Паразитът,Kost Přání,Wunschknochen,Το Παράσιτο,The Parasite,Os de Poulet,Osso dei Desideri,ウィッシュボーン,De parasiet,Pasożyt,The Parasite,The Parasite,Parazitul,Кость желаний,Hueso de los deseos,Parazit,Паразит,Wish Bone,寄生虫,1
32,???,??? (Blue Baby),Character,???,??? (Blue Baby),"Nemůže mít červené srdce#{{SoulHeart}} Zvýšení zdraví mu dává Duševní srdce#{{DevilRoom}} Ďábelské Dohody, které by stály 1 nebo 2 červené srdce, budou teď stát 1 nebo 2 duševní srdce#Zničení hovna vytvoří 1 modrou mušku",???,??? (Blue Baby),??? (Blue Baby),Ne peut pas avoir de cœurs rouges,Non può avere Cuori Rossi#{{SoulHeart}} Gli aumenti di salute conferiscono Cuori Celesti,赤ハートを持てない#体力が増える効果は、 代わりに青ハート+1#悪魔取引のコストは、 赤ハート1個=青1個、 赤ハート2個=青2個に、 それぞれ置き換わる#うんちを壊した時、 青ハエが1匹スポーン,??? (Blue Baby),???,??? (Blue Baby),???,Can't have Red Hearts#{{SoulHeart}} Health ups grant Soul Hearts,???,No puede tener corazones rojos#{{SoulHeart}} los Objetos de vida otorgan Corazones de Alma,???,???,Không thể có Trái tim đỏ#{{SoulHeart}} Tăng máu tặng Trái tim hồn#{{DevilRoom}} Giao kèo quỷ tốn 1 hoặc 2 Trái tim đỏ sẽ tốn 1 hoặc 2 Trái tim hồn thay vì vậy#Phá phân tạo 1 ruồi xanh,不能拥有红心#{{SoulHeart}} 体力上升改为获得魂心,1
33,Everything Is Terrible!!!,Everything Is Terrible!!!,Other,"챔피언 등장, 대체 보스 출현, 저주 빈도 증가",Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,Everything Is Terrible!!!,1
34,It Lives!,It Lives,Boss,,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,It Lives,1
35,Mom's Contact,Mom's Contacts,Item,엄마의 콘텍트렌즈,Лещите на мама,Mámina Kontaktní Čočka,Mamas Kontakte,Η Επαφή της Μαμάς,Mom's Contacts,Lentille de Maman,Lentine di Mamma,ママのコンタクト,Mama's Lenzen,Soczewki Mamy,Mom's Contacts,Mom's Contacts,Contactele Mamei,Мамины линзы,Lentillas de Mamá,Annenin Lensleri,Матусині лінзи,Mom's Contacts,妈妈的美瞳,1
36,The Necronomicon,The Necronomicon,Item,네크로노미콘,Некрономикон,Zamoření?,Infested?,Το Νεκρονομικόν,The Necronomicon,Necronomicon,Il Necronomicon,感染症？,De Necronomicon,Nekronomikon,The Necronomicon,The Necronomicon,The Necronomicon,Зараженный?,El Necronomicón,Enfeksiyonlandın?,Некрономікон,Infested?,死灵之书,1
37,Basement Boy,Basement Boy,None,,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,Basement Boy,1
38,Spelunker Boy,Spelunker Boy,None,,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,Spelunker Boy,1
39,Dark Boy,Dark Boy,None,,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,Dark Boy,1
40,Mama's Boy,Mama's Boy,None,,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,Mama's Boy,1
41,Golden God!,Golden God!,None,,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,Golden God!,1
42,Eve,Eve,Character,이브,Eve,Eve,Eve,Eve,Eve,Ève,Eve,Eve,Eve,Ewa,Eve,Eve,Eve,Eve,Eva,Eve,Eve,Eve,Eve,1
43,Mom's Knife,Mom's Knife,Item,엄마의 식칼,Ножът на мама,Mámin Nůž,Mamas Messer,Το Μαχαίρι της Μαμάς,Mom's Knife,Couteau de Maman,Coltello di Mamma,ママの包丁,Mama's Mes,Nóż Mamy,Mom's Knife,Mom's Knife,Cuțitul Mamei,Мамин нож,Cuchillo de Mamá,Annenin Bıçağı,Матусин ніж,Mom's Knife,妈妈的菜刀,1
44,The Razor,Razor Blade,Item,면도날,Бръснарско ножче,Žiletka,Rasierklinge,Ξυριστική Λεπίδα,Razor Blade,Lame de Rasoir,Lametta,レイザー ブレード,Scheermesje,Żyletka,Razor Blade,Razor Blade,Lamă de Ras,Лезвие бритвы,Cuchilla,Jilet,Лезо бритви,Razor Blade,剃刀片,1
45,Guardian Angel,Guardian Angel,Item,수호천사,Ангел пазител,Anděl Strážný,Schutzengel,Φύλακας Άγγελος,Guardian Angel,Ange Gardien,Angelo Custode,ガーディアン エンジェル,Beschermengel,Anioł Stróż,Guardian Angel,Guardian Angel,Îngerul Protector,Ангел-хранитель,Ángel Guardián,Koruyucu Melek,Ангел-Охоронець,Guardian Angel,守护天使,1
46,A Bag of Bombs,Bomb Bag,Item,폭탄 주머니,Торба с бомби,Požehnaná Mince,Gesegnete Münze,Σακούλα Βόμβων,Bomb Bag,Sac de Bombes,Sacco di Bombe,幸運のペニー,Bommen Tas,Torba na Bomby,Bomb Bag,Bomb Bag,Plasă cu Bombe,Благословенный пенни,Bolsa de Bombas,Kutsanmış Para,Сумка з бомбами,Blessed Penny,炸弹袋,1
47,Demon Baby,Demon Baby,Item,악마 아기,Бебе демон,Démoní Děcko,Dämonenbaby,Διαβολικό Μωρό,Demon Baby,Bébé Démoniaque,Bebè Demone,デーモンベイビー,Demon Baby,Demoniczne Dziecko,Demon Baby,Demon Baby,Bebelușul Demon,Малыш демон,Bebé Demonio,Şeytan Bebek,Малюк Диявол,Demon Baby,恶魔宝宝,1
48,Forget Me Now,Forget Me Now,Item,날 잊어 주세요,Забрави за мен,Zapomeň na Mě,Vergissmeinjetzt,Ξέχνα Με Τώρα,Forget Me Now,Pilule Tranquillisante,NonTiRicordarDiMe,フォーゲットミーなぅ,Vergeet Me Nu,Zapominajka,Forget Me Now,Forget Me Now,Uită-mă Acum,Забудь меня,Olvídame Ya,Beni Unut,Забудь мене зараз,Forget Me Now,遗忘药,1
49,The D20,D20,Item,20면 주사위,D20,Modelářská Hlína,Modelliermasse,Εικοσάπλευρο Ζάρι,D20,D20,D20,モデリング クレイ,D20,D20,D20,D20,D20,Пластилин для лепки,D20,Heykel Kili,D20,Modeling Clay,二十面骰,1
50,Celtic Cross,Celtic Cross,Item,켈트 십자가,Келтски кръст,Azazelův Pahýl,Azazels Stumpf,Κέλτικος Σταυρός,Celtic Cross,Croix Celte,Croce Celtica,アザゼルのカケラ,Keltisch Kruis,Krzyż Celtycki,Celtic Cross,Celtic Cross,Crucea Celtică,Обрубок Азазеля,Cruz celta,Azazel'in vuruşu,Кельтський хрест,Azazel's Stump,凯尔特十字,1
51,Abel,Abel,Item,아벨,Авел,Ábel,Abel,Αβέλ,Abel,Abel,Abele,アベル,Abel,Abel,Abel,Abel,Abel,Авель,Abel,Abel,Авель,Ice Cube,亚伯,1
52,Curved Horn,Curved Horn,Trinket,휘어진 뿔,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,Curved Horn,1
53,Sacrificial Dagger,Sacrificial Dagger,Item,희생의 단도,Жертвена кама,Prokletá Mince,Opferdolch,Στιλέτο Θυσίας,Sacrificial Dagger,Pièce Maudite,Penny Maledetto,イケニエの短刀,Opofferings Dolk,Sztylet Ofiarny,Sacrificial Dagger,Sacrificial Dagger,Pumnalul de Sacrificii,Жертвенный кинжал,Moneda maldita,Lanetli Para,Ніж для жертвопринесень,Sacrificial Dagger,献祭匕首,1
54,Bloody Lust,Bloody Lust,Item,피의 욕망,Жажда за кръв,Roztrhaná Karta,Zerrissene Karte,Αιματηρή Λαγνεία,Bloody Lust,Soif de Sang,Furia Sanguinolenta,破れたカード,Bloederige Lust,Krwawa Żądza,Bloody Lust,Bloody Lust,Poftă Sângeroasă,Порванная карта,Lujuria de Sangre,Yırtık Kart,Кривава жага,Torn Card,嗜血,1
55,Blood Penny,Bloody Penny,Trinket,피 묻은 동전,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,Bloody Penny,1
56,Blood Rights,Blood Rights,Item,피의 권리,Кръвни права,Pokrevní Práva,Blutrechte,Δικαιώματα Αίματος,Blood Rights,Droits du Sang,Eredità di Sangue,血印,Bloed Rechten,Prawo Krwi,Blood Rights,Blood Rights,Drepturi de Sânge,Лучший друг Аполлиона,Derechos de sangre,Apollyon'un En İyi Arkadaşı,Криваві права,Blood Rights,血之权利,1
57,The Polaroid,The Polaroid,Item,즉석사진,Полароид,Polaroid,The Polaroid,Το Πόλαροιντ,The Polaroid,Le Positif,La Polaroid,ポラロイド,The Polaroid,Polaroid,The Polaroid,The Polaroid,The Polaroid,Фотокарточка,La Polaroid,Polaroid,Полароїд,The Polaroid,全家福,1
58,Dad's Key,Dad's Key,Item,아빠의 열쇠,Ключа на тати,Podivný Klíč,Seltsamer Schlüssel,Το Κλειδί του Μπαμπά,Dad's Key,Clé de Papa,Chiave di Papà,ストレンジ キー,Papa's Sleutel,Klucz Taty,Dad's Key,Dad's Key,Cheile Tatălui,Странный ключ,Llave de Papá,Tuhaf Anahtar,Татусів ключ,Strange Key,爸爸的钥匙,1
59,Blue Candle,The Candle,Item,양초,Свещта,Prstencový Uzávěr,Ringkappe,Το Κερί,The Candle,Bougie Bleue,La Candela,リング キャップ,De kaars,Świeca,The Candle,The Candle,Lumânarea,Кольцевая крышка,La Vela,Halka Şapka,Свічка,Ring Cap,蓝蜡烛,1
60,Burnt Penny,Burnt Penny,Trinket,타버린 동전,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,Burnt Penny,1
61,Lucky Toe,Lucky Toe,Trinket,행운의 발가락,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,Lucky Toe,1
62,Epic Fetus,Epic Fetus,Item,쩌는 태아,Епичен Ембрион,Duté Srdce,Hohles Herz,Επικό Έμβρυο,Epic Fetus,Super Fœtus,Epic Fetus,ホロウ ハート,Epic Foetus,Epicki Fetus,Epic Fetus,Epic Fetus,Fătul Epic,Полое сердце,Fetus Épico,Boş Kalp,Епічний Зародок,Hollow Heart,史诗胎儿博士,1
63,SMB Super Fan,SMB Super Fan,Item,슈미보 광팬,Фен на Super Meat Boy,SMB Super Fanda,SMB Super Fan,SMB Σούπερ Θαυμαστής,SMB Super Fan,Super Fan de SMB,Super Fan di SMB,SMB熱狂的ファン,SMB Super Fan,Super Fan SMB,SMB Super Fan,SMB Super Fan,SMB Super Fan,Супер фанат SMB,Súper Fan de SMB,Baphometin İmzası,Суперфанат SMB,SMB Super Fan,超级食肉男孩死忠粉,1
64,Counterfeit Coin,Counterfeit Penny,Trinket,가짜 동전,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,Counterfeit Penny,1
65,Guppy's Hairball,Guppy's Hairball,Item,구피의 털뭉치,Топката косми на Гъпи,Rozbité Brýle,Kaputte Brille,Η Μπούκλα του Γκάπι,Guppy's Hairball,Boule de Poils de Guppy,Palla di Pelo di Guppy,壊れたメガネ,Guppy's Haarbal,Kłaczek Guppy'ego,Guppy's Hairball,Guppy's Hairball,Mingea de Păr a lui Guppy,Разбитые очки,Bola de pelo de Guppy,Kırık Gözlük,Клубок шерсті Гаппі,Broken Glasses,嗝屁猫的毛球,1
66,A Forgotten Horseman,Conquest,Boss,,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,Conquest,1
67,Samson,Samson,Character,삼손,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Samson,Sansón,Samson,Samson,Samson,Samson,1
68,Something Icky,Triachnid,Boss,,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,Triachnid,1
69,!Platinum God!,!Platinum God!,None,,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,!Platinum God!,1
70,Isaac's Head,Isaac's Head,Trinket,아이작의 머리,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,Isaac's Head,1
71,Maggy's Faith,Maggy's Faith,Trinket,매기의 믿음,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,Maggy's Faith,1
72,Judas' Tongue,Judas' Tongue,Trinket,유다의 혀,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,Judas' Tongue,1
73,???'s Soul,???'s Soul,Trinket,???의 영혼,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,???'s Soul,1
74,Samson's Lock,Samson's Lock,Trinket,삼손의 머리채,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,Samson's Lock,1
75,Cain's Eye,Cain's Eye,Trinket,카인의 오른쪽 눈,0,Kniha Belialova,Das Buch von Belial,Το Μάτι του Κάιν,Cain's Eye,Œil de Caïn,Occhio di Caino,ベリアルの本,Cain's Eye,Oko Kaina,Cain's Eye,Cain's Eye,Cain's Eye,Книга Белиала,Ojo de Caín,III - İmparatoriçe?,Око Каїна,The Book of Belial,该隐的眼睛,1
